ID,Station,City,Domain,Total Projects,Tags,Description,Project Domain,Title
4677,"Aditya Birla Science & Technology Company Ltd. (ABSTC) ,Mumbai",Mumbai,Chemical,1,Any,Details awaited,Yet to be finalized,Details awaited
5902,AECOM - Pune,Pune,Infrastructure,1,"AnyA2,A2",-,Civil,Details awaited
4706,"AECOM,Mumbai",Mumbai,Infrastructure,1,"AnyA2,A2",-,Civil,Details awaited
7168,Agam Capital,Mumbai,Finance and Mgmt,1,"AnyB4,AnyB5,AnyB3","Daily monitor limits and portfolio exposures of the fund as per client and internalguidelinesUtilize our proprietary state of the art platform for risk calculation, stress testing and pnlattributionUnderstand risk and pnl drivers and proactively highlight areas of concernDevelop cashflow and financial models for investment assets and derivativesWork with CRO and client to understand and implement their objectivesWork with Analytics team to continuously enhance our proprietary platformChallenge &amp; identify the gaps and improve current implementationAssist in different M&amp;A deals across the life insurance space","Finance,Finance & IT", (Intern-1)
7168,Agam Capital,Mumbai,Finance and Mgmt,1,"AnyB4,AnyB5,AnyB3","Prepare asset tape for both risk and SBA asset needs, andRun daily asset sensitivities for Fiji/Prismic using python tools and pALMCreate validation and perform analysis on asset data using pALMSupport hedging program operation and analysisPrepare and support compliance reportsSupport Quarter end reportingSupport ad-hoc on an as needed basis",Numerical methods and programming,(Intern-2)
7294,"Alembic Pharmaceuticals,Mumbai",Mumbai,Health Care,1,-,-,-,Details awaited
7411,ALLEN Career Institute Private Limited,Mumbai,Finance and Mgmt,1,-,"Description: Work on new business development projects, operational improvement projects in the existing business, strategic growth initiatives (including M&amp;A) and gain experience of working directly with high-quality industry leaders.Required Skills &amp; Traits: First principles thinking, independent drive, ability to learn and apply new concepts, financial analysis.Expected Outcomes: Live work-outcomes with company leadershipSpecific courses required for project execution: Financial Analysis, Managerial Communication, Financial Modeling, Economic Theory, Marketing, Operations Management",-,Title: Strategy and New Business Development
7411,ALLEN Career Institute Private Limited,Mumbai,Finance and Mgmt,1,"AnyA3,AnyA7,AnyA8,AnyAA,A3,A7,AA,A8","Description: Work on new business development projects, operational improvement projects in the existing business, strategic growth initiatives (including M&amp;A) and gain experience of working directly with high-quality industry leaders.Required Skills &amp; Traits: First principles thinking, independent drive, ability to learn and apply new concepts, financial analysis.Expected Outcomes: Live work-outcomes with company leadershipSpecific courses required for project execution: Financial Analysis, Managerial Communication, Financial Modeling, Economic Theory, Marketing, Operations Management","Business Operations,Business Analysis,Business Strategy,Business process mapping,Marketing and Business Development",Title: Strategy and New Business Development
5831,AlmaConnect,Gurgaon,Finance and Mgmt,1,"AnyA1,AA,A7,A4,A2,A5,A8,A3,A1,AnyAD,AnyAB,AnyAA,AnyA8,AnyA7,AnyA5,AnyA4,AnyA3,AnyA2,AD,AB","-Title:Business DevelopmentDescription: &nbsp;Students will assist the Sales teams in researching potential prospects, reaching out to them, preparing demos and converting the sale. Skill sets: Great communication skills, Sincerity, Knowlede of Microsoft Excel/ Google Sheets &amp; Email writingTitle:Business OperationsDescription: Working with the operations &amp; client services team to ensure smooth functioning of the product and handling customer requests","Business Development,Business Operations",Business Development  & Business Operations
4946,"AltiusHub,Hyderabad",Hyderabad,CSIS/IT,1,"AnyA7,A7","Title: Intern – Engineering&nbsp;Description: Attached to the email&nbsp;Required Skills &amp; Traits: ReactJs, JavaScript, TypeScript, Python, Django, Playwright, RxJs, Jest framework&nbsp;Expected Outcomes:1. Diligence and Resilience 2. Curiosity and Adaptability 3. Team player with a positive attitude 4. High ownership&nbsp;Expected learning: 1. New technologies &amp; hands-on coding2. Deployment strategies in different environments 3. Exposure to SDLC (end-to-end&nbsp;Specific courses required for project execution:&nbsp;CSE/ITCoding",Application Development, Intern – Engineering
6087,Altruist Technologies Private Limited, Panchkula,CSIS/IT,1,-,-,-,Details awaited
7329,Altruistic Solutions,India,Finance and Mgmt,1,Any,Altruistic Solutions,Yet to be finalized,Altruistic Solutions
7342,Amagi Media Labs Pvt Ltd,Bengaluru,CSIS/IT,1,Any,"Role Description: Ever wondered what makes a B2B startup tick Curious about how cutting-edge SaaS companies build high-performance sales machines? Want to learn how Go-To-Market (GTM) strategy works from the inside out? Here’s your chance to understand and get your hands dirty in the real world. This internship is tailor-made for BITSians who are hungry to learn, experiment, and understand how startups scale. It does not matter whether you're from A4, A1, A7 or B2A8 — if you love solving business problems, want a front-row seat to GTM operations strategy, and aren’t afraid to get lost in spreadsheets, data and deriving insights from what the data states, apply for this. And yes, if it is not obvious yet, you will get the chance to work with a BITS Pilani alumnus who leads GTM Strategy and Revenue Operations at a fast-growing, $150M+ SaaS company.What You will Get to Do Get exposure to B2B sales and GTM systems, including CRM, pipeline analysis, and campaign effectiveness. Help build playbooks, dashboards, and processes that drive real-world sales outcomes. Learn the ins and outs of sales motions, revenue analytics, and how startups run on process + hustle. Support the Deal Desk team in building quotes, pricebooks and contracts for active opportunities. Operate as a Proejct Manager, track progress and flag risks for key activities for the GTM team.What We're Looking For You are a problem solver with a curiosity about how businesses work. Comfortable with spreadsheets, PowerPoint and have a willingness to learn tools like Salesforce, Looker, ChatGPT, and Slack. Willingness to experiment with AI, smartness to get AI to make their work redundant. Strong communication skills — written and verbal. No specific discipline/department required. We value attitude over academic major. You thrive in fast-paced environments and aren't afraid to ask, Why An individual who will be disciplined and driven to be consistent.",Yet to be finalized,Revenue Operations
6300,AMAZON SDE,Bengaluru,CSIS/IT,1,"AnyA3,AnyA7,AnyA8,AnyAA,A3,A8,A7,AA",Amazon SDE,Software Development,Amazon SDE
7357,AMD India Pvt Ltd - Hyderabad,Hyderabad,CSIS/IT,1,Any,AMD India Pvt Ltd - Hyderabad,Yet to be finalized,AMD India Pvt Ltd - Hyderabad
5154,"AMD India Pvt Ltd, Bengaluru",Bengaluru,Electronics,1,-,-,-,Details awaited
5643,"American Express - AiDa, Bengaluru",Bengaluru,CSIS/IT,1,"AnyA7,A7","  Description and Outcome: AiDa Develop is a platform which enables seamless experience for machine learning model development including all major stages like hyperparameter tunning, training, model interpretability, performance evaluation and data quality. Platform owns range of products implemented and optimized to support these various stages smoothly and efficiently for 1000s of modeling team members. &nbsp;In the project, candidate (intern) will be working towards analyzing the current logging framework and identify the opportunities, come up with the right recommendations either to streamline or enhance or build something new from scratch. Project will also include building a POC (proof of concept) with following scope. 1.&nbsp;&nbsp;&nbsp;&nbsp;Incorporate recommendations in the current logging framework and upgrade to be comprehensive and intuitive 2.&nbsp;&nbsp;&nbsp;&nbsp;Build a systematic solution (pipeline) to generate insights (some examples below but not limited to) for leadership to take a judicious decisions towards solving users pain points proactively or enhance user experience even more.Example insights – top n failures at month/quarter level, top products facing maximum or minimum failures. Highly utilized or under-utilized products. Average, min, max time taken by various stages&nbsp;Skill sets: Python, BIgQuery (GCP cloud), Understanding of Unix, understanding of model development life cycle and various stages and their objective like hyper parameter tunning, training, model interpretability. &nbsp;Expected learning: Understanding of model development life cycle and practices being followed by Amex, Big Data Environment and execution mechanism for a distributed job. Google cloud framework Principles of optimizing the Big Data Jobs on cloud. Generate business insights using programming methods.&nbsp;Specific courses required for project execution: Programming in Python, Linux / Unix understanding, Big Data framework such as Big Query, DataProc and other GCP essentials (Google Cloud Platform), Algorithms, classical ML algorithms such as XGBoost in addition to Linear Regression, SVMs, other classification / regression methods.  ","AI & ML,Cloud,Big Data Analytics,FinTech","Title: Streamline and enhance model development logging framework and build a systematic analytical solution to enable insights like top n user concerns, highly used or unused products etc   "
5644,"American Express - AiDa, Gurugram",Gurgaon,CSIS/IT,1,"A7,AnyA7","Description:&nbsp;As the Enterprise transitions to utilizing Google Cloud Platform (GCP) for all its AI / ML workloads, it is essential to migrate all production pipelines to this new AI / ML platform on GCP. While the objective is to migrate every pipeline, it is crucial to monitor production executions and derive insights regarding resource utilization and costs associated with each pipeline in operation. This approach will facilitate resource management, minimize production failures, and enable the execution of pipelines with optimized cost efficiency. &nbsp;The candidate will focus on developing a utility that monitors all production pipelines and generates easily interpretable insights (summaries) that correlate resource utilization key performance indicators (KPIs) with costs through statistical analysis techniques. The tool should provide an oversight of the platform, including success and failure rates, identify optimization opportunities based on historical pipeline executions, and generate alerts for any anomalies.&nbsp;A stretch goal would be to support customizable rules by the utility that would assist in generating alerts tailored to specific business or use case requirements.&nbsp;Skill sets: GCP platform fundamentals, log analysis, Python, Linux / Unix understanding, Big Data fundamentals such as Hadoop, Spark, Algorithms. Understanding of Boosting algorithm, HPT, AI / ML GPU compatibility aspects would be a plus. &nbsp;Expected learning: Big Data framework for Analytical and AI / ML workloads on GCP, Dask &amp; rapids framework support for compute intensive tasks, Optimization recommendations for users based on the pipeline running on production by different modelling teams in Amex. &nbsp;Specific courses required for project execution: Cloud Architecture, fundamentals of Hive/ Spark/ Big Query, Programming in Python. Acquaintance with Big Data environments will be an added advantage, visualizing big data platform logs using Splunk / Kibana will be a plus.","AI & ML,Cloud,Big Data Analytics,Data Analytics,FinTech","Title: Enterprise Ai / ML Platform production pipeline Monitoring on Google Cloud and Insights (Cost, Resource utilization etc.)"
5645,American Express AI Products,Gurgaon,CSIS/IT,1,"AnyA7,A7,A7","Description: Implement customized views that will help analytical users and downstream processes to seamlessly migrate from POD to POA data sources.Required Skills &amp; Traits: &nbsp;Strong Analytical skills and sound knowledge on Querying languages Like SQL/Hive QL, NoSQL(LUMI)Expected Outcomes: :&nbsp;By the end of Internship, person should be able to create at least 2 analytical customized data layers which has to be ready for consumption by users.Specific courses required for project execution:&nbsp;NoSQL on Google Cloud Platform, Hive QL, Python(added benefit)","AI,Data Analytics",Title: Analytical Data Layer implementation for Authorization use cases
6875,Ampere Computing,Bengaluru,CSIS/IT,1,"AnyAA,AnyA8,AnyA3,A3,A8,AA","Project Brief : The architectural design verification group is looking for Technical Intern to develop and debug core-level DV infrastructure to verify custom CPUs. In this role, you’ll be involved with test planning , writing tests and work on random test generators   Broad Domain of the project Design Verification is an integral part of the chip design process that ensures our customers get the absolute highest quality products that meet their functional and performance requirements. The DV Team at Ampere Computing comprises of stellar folks who have dedicated themselves to the art and fun of design verification. We are a tightly-knit, fast-paced team who work extremely closely with our design and architecture partners to ensure no bug is left behind.  What you'll bring: Understanding of high-performance microprocessor/computer architecture. Knowledge of memory and cache coherency Experience in scripting using Unix shell, perl or python. Familiarity with Arm assembly language and simulation tools like Questa Knowledge of Arm architecture is a plus Good understanding of verification methodology. Ability to learn quickly and demonstrate strong problem solving and trouble shooting skills. Good written and verbal communication skills and able to work collaboratively in a team. ",Design Verification,Technical Intern (Design Verification)
6376,AquaCarta ( partnered by Waterlife India ) - Aerial Imagery,Hyderabad,CSIS/IT,1,Any,Details awaited,Yet to be finalized,Details awaited
7410,Arete Healthtech Private Limited,New Delhi,Health Care,1,"AnyA7,A7","Description: OCTA platform designed to boost OPD to IPD conversions, helping healthcare providers enhance Patient Conversion &amp; revenue with patient engagement. It offers structured visibility into OPD operations. The platform streamlines patient follow-ups, admissions, and education to drive higher conversion rates and improved care outcomes.Required Skills &amp; Traits: Exposure to Docker, Kubernetes, or containerization tools,&nbsp;Understanding of networking, firewalls, and basic security principles, Experience with any cloud service provider or automation platform is a plus.Expected Outcomes: The intern is expected to assist in creating, managing, and optimizing CI/CD pipelines, support code deployment processes, and contribute to cloud infrastructure management using AWS and Azure. They should demonstrate a proactive approach to problem-solving, a strong understanding of DevOps practices, and the ability to collaborate effectively with the engineering team to ensure smooth and secure deployments.Specific courses required for project execution: B.E Computer Science","Healthcare,Health Tech",Title: OCTA (OP to IP Conversion Teleassistance Platform)
7410,Arete Healthtech Private Limited,New Delhi,Health Care,1,"AnyA7,A7","Description:&nbsp;The Digital Front Door (DFD) is a healthcare industry concept that refers to the use of digital tools and technologies to create a seamless, user-friendly entry point for patients to access healthcare services. It aims to enhance the patient experience by making healthcare more accessible, convenient, and efficient.Required Skills &amp; Traits: Good understanding of JavaScript, Node.js, React, and MongoDB. Basic knowledge of version control (Git), API tools (Postman), and agile workflows. Exposure to AI tools or APIs (e.g., ChatGPT, Hugging Face). Familiarity with REST APIs, async operations, and responsive UI principlesExpected Outcomes: The intern is expected to write clean, efficient, and scalable code, optimize database queries for performance, and effectively handle multiple microservices. Strong problem-solving skills are essential, along with the ability to collaborate with the team to deliver reliable and maintainable solutions within a fast-paced development environment.Specific courses required for project execution: B.E Computer Science","Healthcare,Health Tech",Title: Digital Front Door
5028,"Argenbright Innovation Lab,Bengaluru",Bengaluru,CSIS/IT,4,"AnyA7,A7,AnyA7,A7,AnyA7,A7,AnyA7,A7","Title:Conversational AI assistant for blue collar workersDescription: Create a conversational AI experience with Text to Speech and Speech to text capabilitiesSkill sets: LLM, Machine Learning, NLPExpected learning: LLM, Machine Learning, NLP,Title: Gen AI code generatorDescription: Create a custom model for generating platform specific codeSkill sets:Gen AI, Machine learningExpected learning:Gen AI, Machine learning,Title: Computer VisionDescription: Develop computer vision algorithm to detect intrusion, spill, leakSkill sets:Computer Vision, machine learningExpected learning: Image classification, Computer vision, machine learning,Title: Machine LearningDescription: Create a machine learning model that can be trained to detect posturebased behavioral analysis and predict threatsSkill sets::Computer Vision, machine learningExpected learning: Image classification, Computer vision, machine learning","Manufacturing,Infrastructure","Conversational AI assistant for blue collar workers,Gen AI code generator,Computer Vision,Machine Learning"
5028,"Argenbright Innovation Lab,Bengaluru",Bengaluru,CSIS/IT,1,"AnyA3,AnyA7,AnyA8,AnyAA,A3,A7,A8,AA","Title: Collaboration tool for ground operationsDescription: Create a collaboration app for Skill sets: React Native, WebRTC, SignalExpected learning: App development, VOIP",Manufacturing,Collaboration tool for ground operations
6974,ARKS Ventures - Non Tech,San Francisco,Finance and Mgmt,1,"AnyC7,C7","Description: Interns will design and execute comprehensive marketing strategies that encompassdigital campaigns, social media management, and content development to drive brand awareness andlead generation. They will monitor campaign performance, optimize tactics, and manage social mediaoutreach to boost customer engagement and revenue growth.Required Skills &amp; Traits: marketing, social media, English, design, creativityExpected Outcomes: campaign execution, followership, contentSpecific courses required for project execution: marketing, design, social media","Marketing,Management,Consulting",Title: end to end marketing
6972,ARKS Ventures - Tech,San Fransisco,Finance and Mgmt,3,"AnyA3,AnyA7,AnyA8,AnyAA,A3,A7,AA,A8,AnyA3,AnyA7,AnyA8,AnyAA,A3,A7,AA,A8,AnyA3,AnyA7,AnyA8,AnyAA,A3,A7,AA,A8","Description: Intern will integrate AI algorithms into our payment processing system to optimizetransaction efficiency and enhance fraud detection. The project involves developing predictive models,automating routine tasks, and evaluating AI's impact on payment security and customer experience.Required Skills &amp; Traits: Usage of APIs, basic understanding of LLMs, statisticsExpected Outcomes: high quality production-ready codeSpecific courses required for project execution: AI, Machine Learning, Computer Programming,Description: Interns will implement intuitive, responsive front-end interfaces for our payments app toenhance user experience and streamline transaction flows. They will work with modern web and appframeworks to build dynamic components and improve overall usability and accessibility.Required Skills &amp; Traits: Flutter, Kotlin, JavaScriptExpected Outcomes: high quality production-ready codeSpecific courses required for project execution: Computer Programming, Front-end Development,Description: Interns will design and implement cutting-edge automated testing solutions by integratingadvanced APIs and modern frameworks. They will create robust, scalable test suites to simulate real-world scenarios, ensuring high-quality and error-free software releases.Required Skills &amp; Traits: Python, usage of APIs, testingExpected Outcomes: high quality production-ready test suiteSpecific courses required for project execution: software testing, computer programming","Software Development,AI","Title: AI implementation in payments,Title: front-end development of payments app,Title: cutting-edge automated testing"
6366,Astera Labs,Bengaluru,Electronics,1,"B4A3,B5A3,B4A8,B4AA,B5A8,B5AA,D2A3,A3,AA,A8","Title: Design AutomationDescription: Develop methodology, automation for design, DV, PD flows Develop scripts, methodology for various VLSI flows to reduce cycle time and propose new methodologies to improve current flows with good roi.Skill sets: digital design,&nbsp;&nbsp;SV/Verilog, python/perl scripting , LinuxTraits expectation: Should be a self starter and proactive individual eager to try and explore new concepts/methodologiesExpected learning: understand vlsi design flow, standard protocolsSpecific courses required for project execution:&nbsp;B.E. Electrical &amp; Electronics/B.E. Electronics &amp; Instrumentation/B.E.&nbsp;Electronics &amp; Communication, Dual Degree- M.Sc.&nbsp;Mathematics/M.Sc.&nbsp;Physics/M.Sc. General Studies(with B.E.(Electrical &amp; Electronics/Electronics &amp; Instrumentation/Electronics &amp; Communication)",VLSI Design,Design Automation
6580,Astrikos AI Private Limited,Bengaluru,CSIS/IT,1,Any,Details awaited,Yet to be finalized,Details awaited
5280,"Avaamo, Bengaluru",Bangalore,CSIS/IT,2,"B4A7,A7,B4A7,A7","Title: Avaamo LLaMBDescription: Avaamo is looking for engineers with strong analytical skills to build and grow various aspects of our search stack including search ranking models, query parsing/understanding, document understanding, query suggestions/autocomplete, natural language question answering, search engine evaluation methodologies, search experimentation framework. This work requires a deep understanding the needs and pain points of users and building, evaluating, and launching innovative solutions leveraging the latest LLM/ML/NLP/IR techniques.&nbsp;&nbsp;Required Skills &amp; Traits: :&nbsp;Python, knowledge on BERT, RAG models.&nbsp;Expected Outcomes: Build and grow various features of our search stack like search ranking models, query parsing/understanding, natural language question answering, etc.o Deeply understand search usage and user needs and identify gaps in the search stacko Design, experiment with, and iterate on ML/NLP/ Information retrieval solutions to address gaps in the search stacko Design and evolve experimentation framework to help evaluate improvements the searchstacko Write robust code that’s easy to read, maintain and test&nbsp;Specific courses required for project execution:&nbsp;Python, BERT, RAG, AI, ML,Title: Avaamo LLaMB&nbsp;Description: We are looking for a Python Developer to join our engineering team and help usdevelop and maintain various software products. You will build highly responsive webapplications that align with our business needs.&nbsp;Objectives:Design and develop high-quality Python-based applications using popularframeworks such as Django, Flask, Fast apiCollaborate with cross-functional teams to ensure our software solutions arescalable, reliable, and easy to maintain.Ensure the reliability, performance, and security of software applications bydebugging and troubleshooting issues, identifying root causes, and proposingsolutions.Write clean, efficient, and maintainable code that adheres to best practices andstandards for software development.Contribute to the development of best practices and standards for softwaredevelopment to improve our software development process and efficiency.&nbsp;Required Skills &amp; Traits: Python, Django&nbsp;Expected Outcomes: Design and develop software solutions using Python programming language and related frameworks.Write clean, efficient, and maintainable code following software development best practices and standards.Test, debug, and troubleshoot software applications to ensure reliability, performance, and security.Contribute to the continuous improvement of software development processes,tools, and technologies.&nbsp;Specific courses required for project execution: Python, Django, Airflow, Kubeflow, and MLflow",AI & ML,"Avaamo LLaMB,Avaamo LLaMB"
7244,Axis Capital Ltd,Mumbai,Finance and Mgmt,1,Any,-,"Investment,Banking",Investment Banking
7054,Bachatt ( Trusave Fintech Private Limited ) - Product Management,New Delhi,Finance and Mgmt,1,Any,Title:Product Management InternDescription: Product Intern. Directly work under the product flows Required Skills &amp; Traits: Product&nbsp;,Product Management,Product Management Intern
7053,Bachatt ( Trusave Fintech Private Limited ) - SDE Backend,New Delhi,Finance and Mgmt,1,"AnyA3,AnyA7,AnyA8,AnyAA,AnyB4,A3,A7,A8,AA,B4",Title: SDE Intern (Backend)	Description: Software Development Intern &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Working on fintech flows and their architecture.Required Skills &amp; Traits: Java SpringbootExpected Outcomes: Student will learn how to work on production level apps.&nbsp;,Back end,SDE Intern (Backend)
7052,Bachatt ( Trusave Fintech Private Limited ) - SDE Frontend,New Delhi,Finance and Mgmt,1,"AnyA3,AnyA7,AnyA8,AnyAA,AnyB4,B4,A3,A7,A8,AA","Title:SDE Intern (Frontend)Description:Software Development Intern (Frontend). Working on the app flows.Required Skills &amp; Traits: Kotlin,Jetpack ComposeExpected Outcomes: Student will learn how to work on production level apps.&nbsp;",Front end,SDE Intern (Frontend)
7055,Bachatt ( Trusave Fintech Private Limited ) - SDE Software Development,New Delhi,Finance and Mgmt,1,B4A1,"Title:SDE Intern (New projects)	Description: Software Development Intern will work on exploring new avenues of growth at Bachatt. This includes, but not limited to, identifying . Working on the app flows.Required Skills &amp; Traits: Kotlin,Jetpack ComposeExpected Outcomes: Students will learn how to work on production level apps.Specific courses required for project execution:Requirements - Game theory, Combinatorial mathematics, Graphs &amp; Networks",Software Development,SDE Software Development
4674,"Bharat Forge Ltd.,Pune",Pune,Mechanical,1,Any,Details awaited,Yet to be finalized,Details awaited
5834,Bharat Petroleum Corporation Limited,Greater Noida,Chemical,1,Any,Details awaited,Yet to be finalized,Details awaited
6259,BigBasket,Bengaluru,Finance and Mgmt,1,-,-,-,Details awaited
